Sr. No.,Ticker,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
1,RELIANCE.NS,RELIANCE,Reliance Industries Limited,157706938
2,TCS.NS,TCS,Tata Consultancy Services Limited,117305528
3,HDFCBANK.NS,HDFCBANK,HDFC Bank Limited,89808750
4,ICICIBANK.NS,ICICIBANK,ICICI Bank Limited,61248250
5,HINDUNILVR.NS,HINDUNILVR,Hindustan Unilever Limited,60157760
6,INFY.NS,INFY,Infosys Limited,59239363
7,HDFC.NS,HDFC,Housing Development Finance Corporation Limited,48048335
8,ITC.NS,ITC,ITC Limited,47632201
9,SBIN.NS,SBIN,State Bank of India,46742655
10,BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Limited,41757759
11,KOTAKBANK.NS,KOTAKBANK,Kotak Mahindra Bank Limited,34423149
12,BAJFINANCE.NS,BAJFINANCE,Bajaj Finance Limited,34005446
13,LICI.NS,LICI,Life Insurance Corporation Of India,33797625
14,LT.NS,LT,Larsen & Toubro Limited,30416456
15,HCLTECH.NS,HCLTECH,HCL Technologies Limited,29450050
16,ASIANPAINT.NS,ASIANPAINT,Asian Paints Limited,26489686
17,AXISBANK.NS,AXISBANK,Axis Bank Limited,26412100
18,MARUTI.NS,MARUTI,Maruti Suzuki India Limited,25048932
19,SUNPHARMA.NS,SUNPHARMA,Sun Pharmaceutical Industries Limited,23587862
20,TITAN.NS,TITAN,Titan Company Limited,22326934
21,DMART.NS,DMART,Avenue Supermarts Limited,22031141
22,ULTRACEMCO.NS,ULTRACEMCO,UltraTech Cement Limited,22003820
23,BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Limited,20173008
24,WIPRO.NS,WIPRO,Wipro Limited,20044620
25,ADANIENT.NS,ADANIENT,Adani Enterprises Limited,19955150
26,ONGC.NS,ONGC,Oil & Natural Gas Corporation Limited,19002512
27,NTPC.NS,NTPC,NTPC Limited,16978862
28,JSWSTEEL.NS,JSWSTEEL,JSW Steel Limited,16632894
29,POWERGRID.NS,POWERGRID,Power Grid Corporation of India Limited,15743597
30,M&M.NS,M&M,Mahindra & Mahindra Limited,14408769
31,LTIM.NS,LTIM,LTIMindtree Limited,14079903
32,TATAMOTORS.NS,TATAMOTORS,Tata Motors Limited,13976217
33,ADANIGREEN.NS,ADANIGREEN,Adani Green Energy Limited,13957702
34,ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Limited,13649918
35,COALINDIA.NS,COALINDIA,Coal India Limited,13166669
36,TATASTEEL.NS,TATASTEEL,Tata Steel Limited,12771502
37,HINDZINC.NS,HINDZINC,Hindustan Zinc Limited,12394973
38,PIDILITIND.NS,PIDILITIND,Pidilite Industries Limited,11960634
39,SIEMENS.NS,SIEMENS,Siemens Limited,11848655
40,ADANITRANS.NS,ADANITRANS,Adani Transmission Limited,11077400
41,SBILIFE.NS,SBILIFE,SBI Life Insurance Company Limited,11020676
42,IOC.NS,IOC,Indian Oil Corporation Limited,11000445
43,BAJAJ-AUTO.NS,BAJAJ-AUTO,Bajaj Auto Limited,10992186
44,GRASIM.NS,GRASIM,Grasim Industries Limited,10750221
45,TECHM.NS,TECHM,Tech Mahindra Limited,10733644
46,HDFCLIFE.NS,HDFCLIFE,HDFC Life Insurance Company Limited,10729624
47,BRITANNIA.NS,BRITANNIA,Britannia Industries Limited,10410689
48,VEDL.NS,VEDL,Vedanta Limited,10201853
49,GODREJCP.NS,GODREJCP,Godrej Consumer Products Limited,9901225
50,DABUR.NS,DABUR,Dabur India Limited,9654339
51,ATGL.NS,ATGL,Adani Total Gas Limited,9543602
52,SHREECEM.NS,SHREECEM,SHREE CEMENT LIMITED,9448447
53,HAL.NS,HAL,Hindustan Aeronautics Limited,9132457
54,HINDALCO.NS,HINDALCO,Hindalco Industries Limited,9109003
55,VBL.NS,VBL,Varun Beverages Limited,9009370
56,DLF.NS,DLF,DLF Limited,8829449
57,BANKBARODA.NS,BANKBARODA,Bank of Baroda,8731845
58,INDUSINDBK.NS,INDUSINDBK,IndusInd Bank Limited,8285788
59,EICHERMOT.NS,EICHERMOT,Eicher Motors Limited,8064561
60,DRREDDY.NS,DRREDDY,Dr. Reddy's Laboratories Limited,7698120
61,DIVISLAB.NS,DIVISLAB,Divi's Laboratories Limited,7495107
62,BPCL.NS,BPCL,Bharat Petroleum Corporation Limited,7468737
63,HAVELLS.NS,HAVELLS,Havells India Limited,7446068
64,ADANIPOWER.NS,ADANIPOWER,Adani Power Limited,7389895
65,INDIGO.NS,INDIGO,InterGlobe Aviation Limited,7366456
66,CIPLA.NS,CIPLA,Cipla Limited,7268331
67,AMBUJACEM.NS,AMBUJACEM,Ambuja Cements Limited,7258526
68,SRF.NS,SRF,SRF Limited,7149322
69,ABB.NS,ABB,ABB India Limited,7131035
70,BEL.NS,BEL,Bharat Electronics Limited,7130689
71,SBICARD.NS,SBICARD,SBI Cards and Payment Services Limited,7002843
72,GAIL.NS,GAIL,GAIL (India) Limited,6913717
73,BAJAJHLDNG.NS,BAJAJHLDNG,Bajaj Holdings & Investment Limited,6588687
74,TATACONSUM.NS,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,6585299
75,ICICIPRULI.NS,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,6267856
76,CHOLAFIN.NS,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,6258111
77,MARICO.NS,MARICO,Marico Limited,6204091
78,APOLLOHOSP.NS,APOLLOHOSP,Apollo Hospitals Enterprise Limited,6198413
79,TATAPOWER.NS,TATAPOWER,Tata Power Company Limited,6079133
80,BOSCHLTD.NS,BOSCHLTD,Bosch Limited,5712889
81,BERGEPAINT.NS,BERGEPAINT,Berger Paints (I) Limited,5650765
82,JINDALSTEL.NS,JINDALSTEL,Jindal Steel & Power Limited,5571721
83,MCDOWELL-N.NS,MCDOWELL-N,United Spirits Limited,5500955
84,UPL.NS,UPL,UPL Limited,5386736
85,AWL.NS,AWL,Adani Wilmar Limited,5274746
86,ICICIGI.NS,ICICIGI,ICICI Lombard General Insurance Company Limited,5252551
87,TORNTPHARM.NS,TORNTPHARM,Torrent Pharmaceuticals Limited,5202414
88,CANBK.NS,CANBK,Canara Bank,5160294
89,PNB.NS,PNB,Punjab National Bank,5131133
90,TVSMOTOR.NS,TVSMOTOR,TVS Motor Company Limited,5117638
91,ZYDUSLIFE.NS,ZYDUSLIFE,Zydus Lifesciences Limited,4975489
92,TIINDIA.NS,TIINDIA,Tube Investments of India Limited,4917996
93,TRENT.NS,TRENT,Trent Limited,4887775
94,IDBI.NS,IDBI,IDBI Bank Limited,4838581
95,NAUKRI.NS,NAUKRI,Info Edge (India) Limited,4810235
96,SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Limited,4715537
97,HEROMOTOCO.NS,HEROMOTOCO,Hero MotoCorp Limited,4690938
98,INDHOTEL.NS,INDHOTEL,The Indian Hotels Company Limited,4607069
99,PIIND.NS,PIIND,PI Industries Limited,4597362
100,IRCTC.NS,IRCTC,Indian Railway Catering And Tourism Corporation Limited,4582400
101,CGPOWER.NS,CGPOWER,CG Power and Industrial Solutions Limited,4582158
102,UNIONBANK.NS,UNIONBANK,Union Bank of India,4548524
103,MOTHERSON.NS,MOTHERSON,Samvardhana Motherson International Limited,4546979
104,CUMMINSIND.NS,CUMMINSIND,Cummins India Limited,4517251
105,SCHAEFFLER.NS,SCHAEFFLER,Schaeffler India Limited,4482086
106,LODHA.NS,LODHA,Macrotech Developers Limited,4482082
107,ZOMATO.NS,ZOMATO,Zomato Limited,4362290
108,PGHH.NS,PGHH,Procter & Gamble Hygiene and Health Care Limited,4330149
109,YESBANK.NS,YESBANK,Yes Bank Limited,4327569
110,POLYCAB.NS,POLYCAB,Polycab India Limited,4313091
111,MAXHEALTH.NS,MAXHEALTH,Max Healthcare Institute Limited,4282467
112,IOB.NS,IOB,Indian Overseas Bank,4243592
113,PAGEIND.NS,PAGEIND,Page Industries Limited,4227686
114,COLPAL.NS,COLPAL,Colgate Palmolive (India) Limited,4099775
115,ASHOKLEY.NS,ASHOKLEY,Ashok Leyland Limited,4087089
116,ALKEM.NS,ALKEM,Alkem Laboratories Limited,4060547
117,NHPC.NS,NHPC,NHPC Limited,4038104
118,PAYTM.NS,PAYTM,One 97 Communications Limited,4035963
119,PFC.NS,PFC,Power Finance Corporation Limited,4006324
120,JSWENERGY.NS,JSWENERGY,JSW Energy Limited,3961201
121,MUTHOOTFIN.NS,MUTHOOTFIN,Muthoot Finance Limited,3933983
122,AUBANK.NS,AUBANK,AU Small Finance Bank Limited,3861419
123,INDUSTOWER.NS,INDUSTOWER,Indus Towers Limited,3853760
124,BALKRISIND.NS,BALKRISIND,Balkrishna Industries Limited,3772488
125,UBL.NS,UBL,United Breweries Limited,3766319
126,ABCAPITAL.NS,ABCAPITAL,Aditya Birla Capital Limited,3712830
127,TATAELXSI.NS,TATAELXSI,Tata Elxsi Limited,3711115
128,DALBHARAT.NS,DALBHARAT,Dalmia Bharat Limited,3690082
129,HDFCAMC.NS,HDFCAMC,HDFC Asset Management Company Limited,3644974
130,INDIANB.NS,INDIANB,Indian Bank,3593720
131,ASTRAL.NS,ASTRAL,Astral Limited,3591337
132,BHARATFORG.NS,BHARATFORG,Bharat Forge Limited,3587128
133,LTTS.NS,LTTS,L&T Technology Services Limited,3567802
134,MRF.NS,MRF,MRF Limited,3564562
135,TATACOMM.NS,TATACOMM,Tata Communications Limited,3549675
136,NYKAA.NS,NYKAA,FSN E-Commerce Ventures Limited,3543170
137,CONCOR.NS,CONCOR,Container Corporation of India Limited,3535430
138,PERSISTENT.NS,PERSISTENT,Persistent Systems Limited,3522810
139,PATANJALI.NS,PATANJALI,Patanjali Foods Limited,3508454
140,IRFC.NS,IRFC,Indian Railway Finance Corporation Limited,3476223
141,LINDEINDIA.NS,LINDEINDIA,Linde India Limited,3436826
142,IDFCFIRSTB.NS,IDFCFIRSTB,IDFC First Bank Limited,3435018
143,PETRONET.NS,PETRONET,Petronet LNG Limited,3432750
144,SOLARINDS.NS,SOLARINDS,Solar Industries India Limited,3431835
145,SAIL.NS,SAIL,Steel Authority of India Limited,3415944
146,MPHASIS.NS,MPHASIS,MphasiS Limited,3383194
147,HINDPETRO.NS,HINDPETRO,Hindustan Petroleum Corporation Limited,3359122
148,APLAPOLLO.NS,APLAPOLLO,APL Apollo Tubes Limited,3342807
149,FLUOROCHEM.NS,FLUOROCHEM,Gujarat Fluorochemicals Limited,3317690
150,NMDC.NS,NMDC,NMDC Limited,3269091
151,HONAUT.NS,HONAUT,Honeywell Automation India Limited,3217006
152,SUPREMEIND.NS,SUPREMEIND,Supreme Industries Limited,3192884
153,GUJGASLTD.NS,GUJGASLTD,Gujarat Gas Limited,3163841
154,BANDHANBNK.NS,BANDHANBNK,Bandhan Bank Limited,3153212
155,ACC.NS,ACC,ACC Limited,3130789
156,OBEROIRLTY.NS,OBEROIRLTY,Oberoi Realty Limited,3063712
157,BANKINDIA.NS,BANKINDIA,Bank of India,3063312
158,RECLTD.NS,RECLTD,REC Limited,3040057
159,AUROPHARMA.NS,AUROPHARMA,Aurobindo Pharma Limited,3035748
160,STARHEALTH.NS,STARHEALTH,Star Health and Allied Insurance Company Limited,3014834
161,IGL.NS,IGL,Indraprastha Gas Limited,3000903
162,LUPIN.NS,LUPIN,Lupin Limited,2950099
163,UCOBANK.NS,UCOBANK,UCO Bank,2905298
164,JUBLFOOD.NS,JUBLFOOD,Jubilant Foodworks Limited,2903979
165,POLICYBZR.NS,POLICYBZR,PB Fintech Limited,2875793
166,GODREJPROP.NS,GODREJPROP,Godrej Properties Limited,2866540
167,M&MFIN.NS,M&MFIN,Mahindra & Mahindra Financial Services Limited,2862105
168,IDEA.NS,IDEA,Vodafone Idea Limited,2823422
169,OFSS.NS,OFSS,Oracle Financial Services Software Limited,2819710
170,FEDERALBNK.NS,FEDERALBNK,The Federal Bank  Limited,2801027
171,MANYAVAR.NS,MANYAVAR,Vedant Fashions Limited,2765608
172,UNOMINDA.NS,UNOMINDA,UNO Minda Limited,2755450
173,AIAENG.NS,AIAENG,AIA Engineering Limited,2738215
174,THERMAX.NS,THERMAX,Thermax Limited,2731896
175,OIL.NS,OIL,Oil India Limited,2728906
176,VOLTAS.NS,VOLTAS,Voltas Limited,2707464
177,3MINDIA.NS,3MINDIA,3M India Limited,2586894
178,COROMANDEL.NS,COROMANDEL,Coromandel International Limited,2585081
179,SUNDARMFIN.NS,SUNDARMFIN,Sundaram Finance Limited,2554833
180,KPITTECH.NS,KPITTECH,KPIT Technologies Limited,2536104
181,DEEPAKNTR.NS,DEEPAKNTR,Deepak Nitrite Limited,2513178
182,ESCORTS.NS,ESCORTS,Escorts Kubota Limited,2495063
183,BIOCON.NS,BIOCON,Biocon Limited,2477438
184,TATACHEM.NS,TATACHEM,Tata Chemicals Limited,2477377
185,TORNTPOWER.NS,TORNTPOWER,Torrent Power Limited,2453068
186,GMRINFRA.NS,GMRINFRA,GMR Airports Infrastructure Limited,2447576
187,BHEL.NS,BHEL,Bharat Heavy Electricals Limited,2439185
188,SONACOMS.NS,SONACOMS,Sona BLW Precision Forgings Limited,2420648
189,DELHIVERY.NS,DELHIVERY,Delhivery Limited,2416784
190,SYNGENE.NS,SYNGENE,Syngene International Limited,2386528
191,CRISIL.NS,CRISIL,CRISIL Limited,2352052
192,GICRE.NS,GICRE,General Insurance Corporation of India,2344756
193,COFORGE.NS,COFORGE,Coforge Limited,2329509
194,PHOENIXLTD.NS,PHOENIXLTD,The Phoenix Mills Limited,2323555
195,JKCEMENT.NS,JKCEMENT,JK Cement Limited,2259092
196,POONAWALLA.NS,POONAWALLA,Poonawalla Fincorp Limited,2246207
197,GLAXO.NS,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2244206
198,MFSL.NS,MFSL,Max Financial Services Limited,2191479
199,METROBRAND.NS,METROBRAND,Metro Brands Limited,2159328
200,MSUMI.NS,MSUMI,Motherson Sumi Wiring India Limited,2133185
201,SUMICHEM.NS,SUMICHEM,Sumitomo Chemical India Limited,2126860
202,RELAXO.NS,RELAXO,Relaxo Footwears Limited,2118236
203,NAVINFLUOR.NS,NAVINFLUOR,Navin Fluorine International Limited,2116258
204,SKFINDIA.NS,SKFINDIA,SKF India Limited,2103956
205,CENTRALBK.NS,CENTRALBK,Central Bank of India,2092106
206,GLAND.NS,GLAND,Gland Pharma Limited,2088684
207,KANSAINER.NS,KANSAINER,Kansai Nerolac Paints Limited,2084541
208,GRINDWELL.NS,GRINDWELL,Grindwell Norton Limited,2079764
209,TIMKEN.NS,TIMKEN,Timken India Limited,2072615
210,IPCALAB.NS,IPCALAB,IPCA Laboratories Limited,2055892
211,SUNDRMFAST.NS,SUNDRMFAST,Sundram Fasteners Limited,2055055
212,ATUL.NS,ATUL,Atul Limited,2053877
213,ZEEL.NS,ZEEL,Zee Entertainment Enterprises Limited,2038702
214,L&TFH.NS,L&TFH,L&T Finance Holdings Limited,2034570
215,ABFRL.NS,ABFRL,Aditya Birla Fashion and Retail Limited,2033642
216,APOLLOTYRE.NS,APOLLOTYRE,Apollo Tyres Limited,2031688
217,KPRMILL.NS,KPRMILL,K.P.R. Mill Limited,1976027
218,ZFCVINDIA.NS,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,1974307
219,FORTIS.NS,FORTIS,Fortis Healthcare Limited,1962136
220,AARTIIND.NS,AARTIIND,Aarti Industries Limited,1878315
221,HATSUN.NS,HATSUN,Hatsun Agro Product Limited,1876431
222,CARBORUNIV.NS,CARBORUNIV,Carborundum Universal Limited,1871932
223,CROMPTON.NS,CROMPTON,Crompton Greaves Consumer Electricals Limited,1863440
224,VINATIORGA.NS,VINATIORGA,Vinati Organics Limited,1858711
225,IIFL.NS,IIFL,IIFL Finance Limited,1855993
226,BATAINDIA.NS,BATAINDIA,Bata India Limited,1822970
227,BDL.NS,BDL,Bharat Dynamics Limited,1812102
228,LICHSGFIN.NS,LICHSGFIN,LIC Housing Finance Limited,1808332
229,RAJESHEXPO.NS,RAJESHEXPO,Rajesh Exports Limited,1801381
230,RAMCOCEM.NS,RAMCOCEM,The Ramco Cements Limited,1787906
231,ENDURANCE.NS,ENDURANCE,Endurance Technologies Limited,1746540
232,DEVYANI.NS,DEVYANI,Devyani International Limited,1742977
233,PSB.NS,PSB,Punjab & Sind Bank,1738502
234,DIXON.NS,DIXON,Dixon Technologies (India) Limited,1704195
235,KAJARIACER.NS,KAJARIACER,Kajaria Ceramics Limited,1678789
236,WHIRLPOOL.NS,WHIRLPOOL,Whirlpool of India Limited,1668428
237,MAHABANK.NS,MAHABANK,Bank of Maharashtra,1665798
238,SUNTV.NS,SUNTV,Sun TV Network Limited,1638801
239,PEL.NS,PEL,Piramal Enterprises Limited,1618975
240,PRESTIGE.NS,PRESTIGE,Prestige Estates Projects Limited,1616274
241,NIACL.NS,NIACL,The New India Assurance Company Limited,1603504
242,RADICO.NS,RADICO,Radico Khaitan Limited,1596867
243,PFIZER.NS,PFIZER,Pfizer Limited,1586142
244,NH.NS,NH,Narayana Hrudayalaya Ltd.,1582059
245,EMAMILTD.NS,EMAMILTD,Emami Limited,1581743
246,LAURUSLABS.NS,LAURUSLABS,Laurus Labs Limited,1577978
247,FIVESTAR.NS,FIVESTAR,Five-Star Business Finance Limited,1575125
248,AJANTPHARM.NS,AJANTPHARM,Ajanta Pharma Limited,1548777
249,INDIAMART.NS,INDIAMART,Indiamart Intermesh Limited,1536775
250,360ONE.NS,360ONE,360 ONE WAM LIMITED,1533603
251,KEI.NS,KEI,KEI Industries Limited,1532054
252,JBCHEPHARM.NS,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,1529252
253,LALPATHLAB.NS,LALPATHLAB,Dr. Lal Path Labs Ltd.,1524048
254,JSL.NS,JSL,Jindal Stainless Limited,1522886
255,IRB.NS,IRB,IRB Infrastructure Developers Limited,1518809
256,EXIDEIND.NS,EXIDEIND,Exide Industries Limited,1512575
257,PVR.NS,PVR,PVR Limited,1502596
