Date,Dividends
1998-12-30 00:00:00-05:00,0.1
2000-02-28 00:00:00-05:00,0.11
2001-02-27 00:00:00-05:00,0.12
2001-12-27 00:00:00-05:00,0.25
2002-12-27 00:00:00-05:00,0.063
2003-01-09 00:00:00-05:00,0.27
2003-12-26 00:00:00-05:00,0.3
2005-01-12 00:00:00-05:00,0.32
2006-01-27 00:00:00-05:00,0.35
2011-01-05 00:00:00-05:00,0.1
2015-01-14 00:00:00-05:00,0.15
2016-03-16 00:00:00-04:00,0.18
2017-03-15 00:00:00-04:00,0.2
2018-03-15 00:00:00-04:00,0.25
2019-03-14 00:00:00-04:00,0.28
2020-03-19 00:00:00-04:00,0.3
2022-03-30 00:00:00-04:00,1.0
2023-06-09 00:00:00-04:00,0.45
