Date,Dividends
1995-01-10 00:00:00-05:00,0.027654
1995-04-10 00:00:00-04:00,0.041481
1995-07-13 00:00:00-04:00,0.041481
1995-10-12 00:00:00-04:00,0.041481
1996-01-10 00:00:00-05:00,0.047407
1996-04-11 00:00:00-04:00,0.047407
1996-07-11 00:00:00-04:00,0.047407
1996-10-10 00:00:00-04:00,0.047407
1997-01-13 00:00:00-05:00,0.053333
1997-04-11 00:00:00-04:00,0.053333
1997-07-11 00:00:00-04:00,0.053333
1997-10-10 00:00:00-04:00,0.053333
1998-01-13 00:00:00-05:00,0.06
1998-04-13 00:00:00-04:00,0.06
1998-07-13 00:00:00-04:00,0.06
1998-10-13 00:00:00-04:00,0.06
1999-01-13 00:00:00-05:00,0.062222
1999-04-13 00:00:00-04:00,0.062222
1999-07-13 00:00:00-04:00,0.062222
1999-10-13 00:00:00-04:00,0.062222
2000-01-13 00:00:00-05:00,0.062222
2000-04-13 00:00:00-04:00,0.062222
2000-07-13 00:00:00-04:00,0.062222
2000-10-12 00:00:00-04:00,0.062222
2001-01-11 00:00:00-05:00,0.062222
2001-04-11 00:00:00-04:00,0.062222
2001-07-12 00:00:00-04:00,0.062222
2001-10-11 00:00:00-04:00,0.062222
2002-01-11 00:00:00-05:00,0.062222
2002-04-11 00:00:00-04:00,0.062222
2002-07-11 00:00:00-04:00,0.062222
2002-10-10 00:00:00-04:00,0.062222
2003-01-13 00:00:00-05:00,0.062222
2003-04-11 00:00:00-04:00,0.062222
2003-07-11 00:00:00-04:00,0.062222
2003-10-10 00:00:00-04:00,0.062222
2004-01-13 00:00:00-05:00,0.062222
2004-04-13 00:00:00-04:00,0.062222
2004-07-13 00:00:00-04:00,0.08
2004-10-13 00:00:00-04:00,0.08
2005-01-12 00:00:00-05:00,0.08
2005-04-13 00:00:00-04:00,0.08
2005-07-13 00:00:00-04:00,0.08
2005-10-13 00:00:00-04:00,0.08
2006-01-11 00:00:00-05:00,0.08
2006-04-11 00:00:00-04:00,0.1
2006-07-13 00:00:00-04:00,0.1
2006-10-12 00:00:00-04:00,0.1
2007-01-10 00:00:00-05:00,0.1
2007-04-12 00:00:00-04:00,0.12
2007-07-12 00:00:00-04:00,0.12
2007-10-11 00:00:00-04:00,0.12
2008-01-11 00:00:00-05:00,0.12
2008-04-11 00:00:00-04:00,0.12
2008-07-11 00:00:00-04:00,0.12
2008-10-10 00:00:00-04:00,0.12
2009-01-13 00:00:00-05:00,0.12
2009-04-13 00:00:00-04:00,0.12
2009-07-13 00:00:00-04:00,0.12
2009-10-13 00:00:00-04:00,0.12
2010-01-13 00:00:00-05:00,0.12
2010-04-13 00:00:00-04:00,0.15
2010-07-13 00:00:00-04:00,0.15
2010-10-13 00:00:00-04:00,0.15
2011-01-12 00:00:00-05:00,0.15
2011-04-13 00:00:00-04:00,0.17
2011-07-13 00:00:00-04:00,0.17
2011-10-12 00:00:00-04:00,0.17
2012-01-11 00:00:00-05:00,0.17
2012-04-18 00:00:00-04:00,0.2
2012-07-12 00:00:00-04:00,0.2
2012-10-11 00:00:00-04:00,0.2
2013-01-09 00:00:00-05:00,0.2
2013-04-17 00:00:00-04:00,0.23
2013-07-15 00:00:00-04:00,0.23
2013-10-10 00:00:00-04:00,0.23
2014-01-13 00:00:00-05:00,0.23
2014-04-16 00:00:00-04:00,0.28
2014-07-14 00:00:00-04:00,0.28
2014-10-14 00:00:00-04:00,0.28
2015-01-13 00:00:00-05:00,0.28
2015-04-17 00:00:00-04:00,0.32
2015-07-14 00:00:00-04:00,0.32
2015-10-14 00:00:00-04:00,0.32
2016-01-13 00:00:00-05:00,0.32
2016-04-14 00:00:00-04:00,0.34
2016-07-13 00:00:00-04:00,0.34
2016-10-13 00:00:00-04:00,0.34
2017-01-11 00:00:00-05:00,0.34
2017-05-11 00:00:00-04:00,0.37
2017-07-12 00:00:00-04:00,0.37
2017-10-13 00:00:00-04:00,0.37
2018-01-11 00:00:00-05:00,0.37
2018-05-14 00:00:00-04:00,0.43
2018-07-13 00:00:00-04:00,0.43
2018-10-15 00:00:00-04:00,0.43
2019-01-14 00:00:00-05:00,0.43
2019-05-16 00:00:00-04:00,0.5
2019-07-15 00:00:00-04:00,0.5
2019-10-15 00:00:00-04:00,0.5
2020-01-14 00:00:00-05:00,0.5
2020-05-14 00:00:00-04:00,0.5
2020-07-15 00:00:00-04:00,0.5
2020-10-14 00:00:00-04:00,0.5
2021-01-13 00:00:00-05:00,0.5
2021-05-21 00:00:00-04:00,0.54
2021-07-14 00:00:00-04:00,0.54
2021-10-14 00:00:00-04:00,0.54
2022-01-13 00:00:00-05:00,0.54
2022-05-16 00:00:00-04:00,0.6
2022-07-14 00:00:00-04:00,0.6
2022-10-13 00:00:00-04:00,0.6
2023-01-12 00:00:00-05:00,0.6
2023-06-08 00:00:00-04:00,0.64
2023-07-13 00:00:00-04:00,0.64
2023-10-12 00:00:00-04:00,0.64
