Date,Dividends
1993-10-05 00:00:00-04:00,0.0625
1994-01-06 00:00:00-05:00,0.075
1994-04-06 00:00:00-04:00,0.075
1994-07-06 00:00:00-04:00,0.075
1994-10-05 00:00:00-04:00,0.075
1995-01-06 00:00:00-05:00,0.075
1995-04-06 00:00:00-04:00,0.075
1995-07-10 00:00:00-04:00,0.075
1995-08-31 00:00:00-04:00,0.075
1996-01-09 00:00:00-05:00,0.035
1996-04-10 00:00:00-04:00,0.035
1996-07-10 00:00:00-04:00,0.035
1996-10-09 00:00:00-04:00,0.035
1997-01-08 00:00:00-05:00,0.04
1997-04-08 00:00:00-04:00,0.04
1997-07-08 00:00:00-04:00,0.04
1997-10-08 00:00:00-04:00,0.04
1998-01-07 00:00:00-05:00,0.045
1998-04-07 00:00:00-04:00,0.045
1998-07-07 00:00:00-04:00,0.045
1998-10-07 00:00:00-04:00,0.045
1999-01-06 00:00:00-05:00,0.05
1999-04-07 00:00:00-04:00,0.05
1999-07-07 00:00:00-04:00,0.05
1999-10-06 00:00:00-04:00,0.05
2000-01-12 00:00:00-05:00,0.055
2000-04-12 00:00:00-04:00,0.055
2000-07-12 00:00:00-04:00,0.055
2000-10-11 00:00:00-04:00,0.055
2001-01-10 00:00:00-05:00,0.06
2001-04-10 00:00:00-04:00,0.06
2001-07-11 00:00:00-04:00,0.06
2001-10-10 00:00:00-04:00,0.06
2002-01-09 00:00:00-05:00,0.065
2002-04-10 00:00:00-04:00,0.065
2002-07-10 00:00:00-04:00,0.065
2002-10-09 00:00:00-04:00,0.065
2003-01-08 00:00:00-05:00,0.075
2003-04-09 00:00:00-04:00,0.075
2003-07-09 00:00:00-04:00,0.075
2003-10-08 00:00:00-04:00,0.075
2004-01-07 00:00:00-05:00,0.1
2004-04-06 00:00:00-04:00,0.1
2004-07-07 00:00:00-04:00,0.1
2004-10-06 00:00:00-04:00,0.1
2005-01-12 00:00:00-05:00,0.11
2005-04-06 00:00:00-04:00,0.11
2005-07-06 00:00:00-04:00,0.11
2005-10-12 00:00:00-04:00,0.11
2006-01-11 00:00:00-05:00,0.12
2006-04-11 00:00:00-04:00,0.12
2006-07-12 00:00:00-04:00,0.12
2006-10-11 00:00:00-04:00,0.12
2007-01-10 00:00:00-05:00,0.125
2007-04-11 00:00:00-04:00,0.125
2007-07-11 00:00:00-04:00,0.125
2007-10-10 00:00:00-04:00,0.125
2008-01-09 00:00:00-05:00,0.13
2008-04-09 00:00:00-04:00,0.13
2008-07-09 00:00:00-04:00,0.13
2008-10-08 00:00:00-04:00,0.13
2009-01-07 00:00:00-05:00,0.085
2009-04-07 00:00:00-04:00,0.085
2009-07-08 00:00:00-04:00,0.0425
2009-10-07 00:00:00-04:00,0.02
2011-11-10 00:00:00-05:00,0.025
2012-02-13 00:00:00-05:00,0.025
2012-05-11 00:00:00-04:00,0.025
2012-08-30 00:00:00-04:00,0.025
2012-11-28 00:00:00-05:00,0.025
2013-02-26 00:00:00-05:00,0.05
2013-05-29 00:00:00-04:00,0.05
2013-08-28 00:00:00-04:00,0.05
2013-11-06 00:00:00-05:00,0.05
2014-02-19 00:00:00-05:00,0.075
2014-05-20 00:00:00-04:00,0.075
2014-08-20 00:00:00-04:00,0.075
2014-11-12 00:00:00-05:00,0.0875
2015-02-18 00:00:00-05:00,0.0875
2015-05-19 00:00:00-04:00,0.1
2015-08-19 00:00:00-04:00,0.1
2015-11-10 00:00:00-05:00,0.1
2016-02-17 00:00:00-05:00,0.11
2016-05-18 00:00:00-04:00,0.11
2016-08-17 00:00:00-04:00,0.11
2016-11-08 00:00:00-05:00,0.11
2017-02-15 00:00:00-05:00,0.125
2017-05-17 00:00:00-04:00,0.125
2017-08-16 00:00:00-04:00,0.125
2017-11-09 00:00:00-05:00,0.125
2018-02-15 00:00:00-05:00,0.15
2018-05-17 00:00:00-04:00,0.15
2018-08-16 00:00:00-04:00,0.17
2018-11-08 00:00:00-05:00,0.17
2019-02-14 00:00:00-05:00,0.19
2019-05-16 00:00:00-04:00,0.19
2019-08-15 00:00:00-04:00,0.19
2019-11-14 00:00:00-05:00,0.22
2020-02-13 00:00:00-05:00,0.22
2020-05-14 00:00:00-04:00,0.22
2020-08-13 00:00:00-04:00,0.22
2020-11-12 00:00:00-05:00,0.22
2021-02-11 00:00:00-05:00,0.24
2021-05-06 00:00:00-04:00,0.26
2021-08-19 00:00:00-04:00,0.27
2021-11-10 00:00:00-05:00,0.28
2022-02-10 00:00:00-05:00,0.3
2022-05-05 00:00:00-04:00,0.3
2022-08-04 00:00:00-04:00,0.3
2022-11-09 00:00:00-05:00,0.3
2023-02-09 00:00:00-05:00,0.31
2023-05-04 00:00:00-04:00,0.31
2023-08-03 00:00:00-04:00,0.31
